,周数,价格,股数,交易后金额,每笔收益率
0,"[1, 6]","[3118.73, 2948.03]",[300.0],[948790.0000000001],[-0.05120999999999987]
1,"[8, 11]","[3018.28, 3221.89]",[300.0],[1009873.0],[0.06437989439180414]
2,"[20, 25]","[3189.33, 3192.28]",[300.0],[1010758.0000000001],[0.0008763478179931727]
3,"[27, 28]","[3225.16, 3203.93]",[300.0],[1004389.0000000001],[-0.006301211565973297]
4,"[31, 39]","[3365.02, 3327.74]",[200.0],[996933.0000000001],[-0.007423418615695732]
5,"[54, 55]","[3364.49, 3413.49]",[200.0],[1006733.0000000001],[0.009830149067189042]
6,"[57, 60]","[3473.85, 3445.81]",[200.0],[1001125.0000000001],[-0.005570493864808235]
7,"[72, 75]","[3576.17, 3666.8]",[200.0],[1019251.0000000001],[0.018105631164939462]
8,"[81, 83]","[3647.35, 3795.75]",[200.0],[1048931.0],[0.029119422006944173]
9,"[85, 95]","[3825.99, 4104.2]",[200.0],[1104573.0],[0.05304638722661448]
10,"[97, 100]","[4003.38, 4030.85]",[200.0],[1110067.0],[0.0049738677298829526]
11,"[102, 103]","[4225.0, 4285.4]",[200.0],[1122147.0],[0.010882226027798314]
12,"[107, 108]","[3966.96, 4071.09]",[200.0],[1142973.0],[0.018559065790845652]
13,"[110, 111]","[4108.87, 4056.42]",[200.0],[1132483.0],[-0.00917781959853825]
14,"[114, 115]","[3854.86, 3871.14]",[200.0],[1135739.0],[0.0028750983458472046]
15,"[118, 120]","[3774.6, 3903.06]",[300.0],[1174277.0],[0.033932091792216346]
16,"[123, 130]","[3779.62, 3521.23]",[300.0],[1096760.0],[-0.06601253366965376]
17,"[132, 133]","[3405.02, 3229.62]",[300.0],[1044140.0],[-0.04797767971114919]
18,"[134, 140]","[3325.33, 3170.73]",[300.0],[997760.0],[-0.04441933074108839]
19,"[141, 142]","[3134.95, 3173.64]",[300.0],[1009367.0],[0.011633058050032119]
20,"[143, 144]","[3290.25, 3167.44]",[300.0],[972524.0],[-0.036501094250158794]
21,"[147, 148]","[3172.69, 3181.56]",[300.0],[975185.0],[0.002736179261385807]
22,"[152, 164]","[3035.87, 4062.23]",[300.0],[1283093.0],[0.31574316668119384]
23,"[169, 172]","[3730.45, 3629.79]",[300.0],[1252895.0],[-0.023535316613838564]
24,"[173, 179]","[3564.68, 3807.96]",[300.0],[1325879.0],[0.05825228770168289]
25,"[182, 187]","[3633.53, 3972.38]",[300.0],[1427534.0],[0.07666989219981613]
26,"[189, 197]","[3852.65, 3849.99]",[300.0],[1426736.0],[-0.0005590059501209277]
27,"[200, 201]","[3968.22, 4017.25]",[300.0],[1441445.0],[0.010309545704320966]
28,"[208, 209]","[3987.73, 4149.49]",[300.0],[1489973.0],[0.033666216886527156]
29,"[214, 235]","[3710.06, 4718.84]",[400.0],[1893485.0],[0.2708183302650451]
30,"[236, 237]","[4844.27, 4770.22]",[300.0],[1871269.9999999998],[-0.011732334821770607]
31,"[239, 247]","[4737.09, 4856.85]",[300.0],[1907197.9999999998],[0.019199794791772362]
32,"[250, 256]","[5065.92, 5458.08]",[300.0],[2024845.9999999998],[0.061686306298559535]
33,"[259, 261]","[5483.41, 5778.84]",[300.0],[2113475.0],[0.04377073614487248]
34,"[267, 268]","[5161.56, 5035.34]",[400.0],[2062986.9999999998],[-0.02388861945374332]
35,"[270, 272]","[5135.45, 4996.05]",[400.0],[2007226.9999999998],[-0.027028769449346957]
36,"[273, 277]","[5110.59, 5224.7]",[300.0],[2041459.9999999998],[0.01705487221923585]
37,"[285, 287]","[4921.56, 4769.27]",[400.0],[1980543.9999999998],[-0.029839428644205634]
38,"[293, 297]","[4866.38, 4908.77]",[400.0],[1997500.0],[0.008561284172429406]
